0;Atos do Executivo;http://alerjln1.alerj.rj.gov.br/decest.nsf/geral/?SearchView&Query=;144
1;Cod. Org. Juridica;http://alerjln1.alerj.rj.gov.br/codj.nsf/indice/?SearchView&Query=;144
2;Constituicao Estadual;http://alerjln1.alerj.rj.gov.br/constest.nsf/indice/?SearchView&Query=;73
3;Constituicao Federal;http://alerjln1.alerj.rj.gov.br/constfed.nsf/indice/?SearchView&Query=;72
4;Discursos e Votacoes;http://alerjln1.alerj.rj.gov.br/taqalerj.nsf/deputado/?SearchView&Query=;57
5;Legislacao;http://alerjln1.alerj.rj.gov.br/contlei.nsf/geral/?SearchView&Query=;2
6;Ordem do Dia;http://alerjln1.alerj.rj.gov.br/ordemdia.nsf/ordempesq/?SearchView&Query=;59
7;Processo Leg. 2003/2007;http://alerjln1.alerj.rj.gov.br/scpro0307.nsf/vprop/?SearchView&Query=;82
8;Processo Leg. 2007/2011;http://alerjln1.alerj.rj.gov.br/scpro0711.nsf/vprop/?SearchView&Query=;37
9;Processo Leg. 2011/2015;http://alerjln1.alerj.rj.gov.br/scpro1115.nsf/vprop/?SearchView&Query=;22
10;Processo Leg. 2015/2019;http://alerjln1.alerj.rj.gov.br/scpro1519.nsf/vprop/?SearchView&Query=;7
11;Processo Leg. 2019/2023;http://alerjln1.alerj.rj.gov.br/scpro1923.nsf/vprop/?SearchView&Query=;144
12;Processo Leg. 1999/2003;http://alerjln1.alerj.rj.gov.br/scpro99.nsf/vprop/?SearchView&Query=;97
13;Processo Leg. 1995/1998;http://alerjln1.alerj.rj.gov.br/scpro.nsf/vprop/?SearchView&Query=;112
14;Processo Leg. 1991/1994;http://alerjln1.alerj.rj.gov.br/scpro91_94.nsf/vprop/?SearchView&Query=;127
